,X,Y,Z,omega,phi,kappa,c,b1,b2,b3,b4,b5,b6,b7,SE
5,0.0003986,-0.06622502,-0.01234133,0.59823666,1.90605027,2.03594154,3352.73019953,-0.7033738354742137,0.194175713723099,-0.5551187110768755,0.04778111715625846,-0.12311028152488183,-1.0113340219239881,0.23695337866718266,3.274110718600963
80,-0.00800207,0.00139136,-0.02327791,0.53002283,-2.31572185,-0.33573348,3342.8478233,-0.7841946086167739,0.6437272179704193,-0.9821967727983745,-2.767778656497449,0.5191605895551602,-0.6927253666401542,0.8975943425945061,3.3517439758675396
73,0.03797197,0.03408549,-0.00341535,1.10997545,-1.40908959,-1.24889514,2787.91875138,0.05253053486630685,-1.1362010253650034,-0.6491528420467351,2.9638750100226163,0.07815454208013078,-1.0801061851231029,0.06062288962455352,3.4170507845262192
99,-0.00470744,0.00085654,0.01884696,0.47663474,-2.37731661,2.88782367,2334.55694219,-0.876514989985415,0.6706627889704045,-0.8875889624172998,-2.822493764858608,0.6772938987110562,-0.762800148912237,1.1175192807632877,3.507166386390102
82,0.02782818,0.0395505,-0.01695659,3.22401266,-1.86568408,2.8333197,1888.80272953,0.3124551461511388,-1.9510331454441048,-0.4038189249084503,2.5642331869543926,-0.33188927140099367,-1.338132990670697,-0.18391355751220517,3.547276895128072
88,0.11871289,-0.03755767,0.04899237,0.63436207,-1.27206293,2.26684905,1037.04734313,-0.31650263780280785,0.410964873214857,-0.7063306153599376,1.1082244651651514,-0.07454019836049636,-3.2573696602964497,-0.11738527685639977,3.6080158193837653
9,-0.00656718,0.00188577,-0.01399644,0.4363748,-2.21028584,-0.23822336,2306.68145132,-0.821424227385302,0.6738683443120492,-0.8476469150668228,-3.5133018982480304,0.557536854392584,-0.7188249490584453,0.8785747235697636,3.9793789820569256
98,0.00215614,-0.00866474,0.0005401,0.9903513,1.96693545,-0.68048356,1280.0,-0.5074397846641385,0.37973767786543333,-0.3881824425253161,0.0560376647946358,0.12705740231116255,-1.0290164882253496,1.1460205661733902,4.306998707835503
57,0.00104733,-0.0318736,-0.00595599,0.57256848,1.83157506,1.99587166,1947.05693967,-0.7304111327396293,0.34056815365972715,-0.5753540455743353,0.03890960843112372,-0.025926832086921967,-1.1455958778322235,0.4537000637167066,4.385601311445453
16,0.13708837,0.09613303,-0.00327765,2.71667218,1.60209447,2.09298033,3369.36264666,0.2415540386479576,3.0999681467548617,-0.35398103756190447,-0.0871930797214803,0.33177917553566216,3.0519744622068328,-0.0892115883140076,4.389040615122241
